PIN	ROW	COL	PIO	EDGE	IN_RGB96	DRIVER	RESOLVE	CELL	INIT	EXPR	A_src	B_src	C_src	D_src
T6	50	4	A	BOTTOM		V02N0701@4,49	DEAD							
R6	50	4	B	BOTTOM		Q2@15,24	CELL	FF	RESET					
P7	50	6	B	BOTTOM		V02N0501@7,49	DEAD							
N7	50	9	A	BOTTOM		V02N0701@9,49	DEAD							
M7	50	9	B	BOTTOM		V06N0103@10,50	DEAD							
T8	50	11	B	BOTTOM		F0@12,46	CELL	LUT	1100110010101010	!A&!B | !A&D | !B&!D	F5@17,45	Q6@12,46		Q0@13,45
R8	50	13	A	BOTTOM		V06S0203@49,2	DEAD							
P8	50	13	B	BOTTOM		?-1@-1,-1	LOOP							
N8	50	15	A	BOTTOM		F4@14,48	CELL	LUT	0000000001011100	A&!B&D | A&!C&D | !B&C&D	F5@14,48	Q4@14,48	F6@14,48	F2@12,48
M8	50	15	B	BOTTOM		F2@68,12	CELL	LUT	0000000010001010	!A&!B&D | !A&C&D	H06W0303@71,5	H06W0003@69,11	H02W0401@71,12	F2@69,11
M9	50	18	A	BOTTOM		V06N0003@36,49	DEAD							
