offset_hex,offset_dec,n_unique,top_values,class,best_hypothesis,evidence,counterexamples,agr_S,agr_W,agr_H,agr_chip,agr_geo,agr_chip+S,agr_chip+geo
0x0b4,180,12,205:616 0:539 228:13,annotated,f32 coefficient (duty/current-gain triple B4/B8/BC),"values [(np.float32(0.1), 613), (np.float32(0.25), 536), (np.float32(0.1007), 13), (np.float32(0.11), 11)]; 100.0% in [0,4]",0,0.688,0.612,0.697,0.720,0.716,0.823,0.859
0x0b5,181,12,204:616 0:539 56:13,annotated,part of field @0x0b4 (f32 coefficient (duty/current-gain triple B4/B8/BC)),"values [(np.float32(0.1), 613), (np.float32(0.25), 536), (np.float32(0.1007), 13), (np.float32(0.11), 11)]; 100.0% in [0,4]",0,0.688,0.612,0.697,0.720,0.716,0.823,0.859
0x0b6,182,17,204:613 128:536 206:13,annotated,part of field @0x0b4 (f32 coefficient (duty/current-gain triple B4/B8/BC)),"values [(np.float32(0.1), 613), (np.float32(0.25), 536), (np.float32(0.1007), 13), (np.float32(0.11), 11)]; 100.0% in [0,4]",0,0.686,0.610,0.695,0.719,0.714,0.820,0.858
0x0b7,183,4,61:649 62:566 0:3,annotated,part of field @0x0b4 (f32 coefficient (duty/current-gain triple B4/B8/BC)),"values [(np.float32(0.1), 613), (np.float32(0.25), 536), (np.float32(0.1007), 13), (np.float32(0.11), 11)]; 100.0% in [0,4]",0,0.708,0.622,0.716,0.742,0.732,0.840,0.877
0x0b8,184,12,205:611 0:563 56:13,annotated,f32 coefficient (duty/current-gain triple B4/B8/BC),"values [(np.float32(0.1), 607), (np.float32(0.25), 540), (np.float32(0.0), 23), (np.float32(0.3819), 13)]; 100.0% in [0,4]",0,0.692,0.623,0.701,0.719,0.720,0.820,0.860
0x0b9,185,12,204:611 0:563 142:13,annotated,part of field @0x0b8 (f32 coefficient (duty/current-gain triple B4/B8/BC)),"values [(np.float32(0.1), 607), (np.float32(0.25), 540), (np.float32(0.0), 23), (np.float32(0.3819), 13)]; 100.0% in [0,4]",0,0.692,0.623,0.701,0.719,0.720,0.820,0.860
0x0ba,186,15,204:607 128:540 0:23,annotated,part of field @0x0b8 (f32 coefficient (duty/current-gain triple B4/B8/BC)),"values [(np.float32(0.1), 607), (np.float32(0.25), 540), (np.float32(0.0), 23), (np.float32(0.3819), 13)]; 100.0% in [0,4]",0,0.689,0.611,0.698,0.716,0.718,0.818,0.858
0x0bb,187,4,61:627 62:568 0:23,annotated,part of field @0x0b8 (f32 coefficient (duty/current-gain triple B4/B8/BC)),"values [(np.float32(0.1), 607), (np.float32(0.25), 540), (np.float32(0.0), 23), (np.float32(0.3819), 13)]; 100.0% in [0,4]",0,0.709,0.628,0.718,0.734,0.737,0.834,0.875
0x0bc,188,103,205:420 0:310 115:65,annotated,f32 coefficient (duty/current-gain triple B4/B8/BC),"values [(np.float32(0.1), 414), (np.float32(0.5), 300), (np.float32(0.8169), 65), (np.float32(0.0982), 15)]; 100.0% in [0,4]",0,0.424,0.380,0.420,0.482,0.464,0.634,0.711
0x0bd,189,103,204:420 0:324 32:65,annotated,part of field @0x0bc (f32 coefficient (duty/current-gain triple B4/B8/BC)),"values [(np.float32(0.1), 414), (np.float32(0.5), 300), (np.float32(0.8169), 65), (np.float32(0.0982), 15)]; 100.0% in [0,4]",0,0.425,0.380,0.421,0.481,0.467,0.635,0.712
0x0be,190,135,204:418 0:307 81:65,annotated,part of field @0x0bc (f32 coefficient (duty/current-gain triple B4/B8/BC)),"values [(np.float32(0.1), 414), (np.float32(0.5), 300), (np.float32(0.8169), 65), (np.float32(0.0982), 15)]; 100.0% in [0,4]",0,0.423,0.377,0.418,0.477,0.463,0.635,0.711
0x0bf,191,4,61:510 63:413 62:293,annotated,part of field @0x0bc (f32 coefficient (duty/current-gain triple B4/B8/BC)),"values [(np.float32(0.1), 414), (np.float32(0.5), 300), (np.float32(0.8169), 65), (np.float32(0.0982), 15)]; 100.0% in [0,4]",0,0.527,0.473,0.537,0.614,0.578,0.751,0.810
0x0c0,192,25,128:341 160:228 172:130,annotated,u16 MaxWidth (configured wall/card width),"(MaxW,MaxH) matches a filename WxH token in 5/5 files with >=2 tokens; MaxH multiple of module H in 1176/1219, MaxW multiple of module W in 1194/1219",0,0.751,0.755,0.770,0.319,0.837,0.841,0.908
0x0c1,193,3,0:1078 1:122 2:19,annotated,part of field @0x0c0 (u16 MaxWidth (configured wall/card width)),"(MaxW,MaxH) matches a filename WxH token in 5/5 files with >=2 tokens; MaxH multiple of module H in 1176/1219, MaxW multiple of module W in 1194/1219",0,0.884,0.886,0.895,0.885,0.918,0.913,0.948
