offset_hex,offset_dec,n_unique,top_values,class,best_hypothesis,evidence,counterexamples,agr_S,agr_W,agr_H,agr_chip,agr_geo,agr_chip+S,agr_chip+geo
0x122,290,2,14:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x123,291,2,15:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x124,292,2,16:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x125,293,2,17:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x126,294,2,18:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x127,295,2,19:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x128,296,2,20:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x129,297,2,21:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x12a,298,2,22:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x12b,299,2,23:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x12c,300,2,24:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x12d,301,2,25:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x12e,302,2,26:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x12f,303,2,27:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x130,304,2,28:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x131,305,2,29:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x132,306,2,30:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x133,307,2,31:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x134,308,2,32:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x135,309,2,33:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x136,310,2,34:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x137,311,2,35:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x138,312,2,36:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x139,313,2,37:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x13a,314,2,38:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x13b,315,2,39:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x13c,316,2,40:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x13d,317,2,41:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x13e,318,2,42:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x13f,319,2,43:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x140,320,2,44:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x141,321,2,45:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x142,322,2,46:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x143,323,2,47:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x144,324,2,48:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x145,325,2,49:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x146,326,2,50:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x147,327,2,51:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x148,328,2,52:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x149,329,2,53:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x14a,330,2,54:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x14b,331,2,55:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x14c,332,2,56:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x14d,333,2,57:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x14e,334,2,58:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x14f,335,2,59:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x150,336,2,60:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x151,337,2,61:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x152,338,2,62:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x153,339,2,63:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x154,340,2,64:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x155,341,2,65:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x156,342,2,66:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x157,343,2,67:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x158,344,2,68:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x159,345,2,69:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x15a,346,2,70:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x15b,347,2,71:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x15c,348,2,72:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x15d,349,2,73:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x15e,350,2,74:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x15f,351,2,75:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x160,352,2,76:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x161,353,2,77:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x162,354,2,78:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x163,355,2,79:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x164,356,2,80:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x165,357,2,81:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x166,358,2,82:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x167,359,2,83:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x168,360,2,84:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x169,361,2,85:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x16a,362,2,86:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x16b,363,2,87:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x16c,364,2,88:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x16d,365,2,89:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x16e,366,2,90:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x16f,367,2,91:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x170,368,2,92:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x171,369,2,93:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x172,370,2,94:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x173,371,2,95:1214 0:5,annotated,part of field @0x114 (96-entry row map (identity default)),"identity 0..95 in 99.6%, all-zero in 5 files, nothing else observed",0,0.997,0.996,0.997,0.996,0.997,0.999,1.000
0x174,372,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x175,373,2,0:1170 1:49,unknown,,best key chip+geo: agr=0.974 shuf=0.964,0,0.960,0.960,0.960,0.960,0.960,0.970,0.974
0x176,374,2,0:1218 145:1,near-constant,~const 0x00,1218/1219,1,0.999,0.999,0.999,0.999,0.999,0.999,0.999
0x177,375,2,0:1218 1:1,near-constant,~const 0x00,1218/1219,1,0.999,0.999,0.999,1.000,0.999,1.000,1.000
0x178,376,2,15:1218 31:1,annotated,u16 timing (15 default),"[(np.int64(15), 1218), (np.int64(31), 1)]",1,0.999,0.999,0.999,1.000,0.999,1.000,1.000
0x179,377,1,0:1219,annotated-const,part of field @0x178 (u16 timing (15 default)),"[(np.int64(15), 1218), (np.int64(31), 1)]",1,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x17a,378,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x17b,379,1,232:1219,annotated-const,u16 = 1000 (timing block constant),1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x17c,380,1,3:1219,annotated-const,part of field @0x17b (u16 = 1000 (timing block constant)),1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x17d,381,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x17e,382,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x17f,383,3,7:753 15:279 0:187,unknown,,best key chip+geo: agr=0.877 shuf=0.710,0,0.669,0.649,0.638,0.657,0.724,0.799,0.877
0x180,384,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x181,385,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x182,386,3,25:1011 1:187 50:21,annotated,u16 PWM-chip timing (1 on non-PWM chips),"values [(np.int64(25), 1011), (np.int64(1), 187), (np.int64(50), 21)]",0,0.857,0.834,0.835,0.839,0.867,0.933,0.957
0x183,387,1,0:1219,annotated-const,part of field @0x182 (u16 PWM-chip timing (1 on non-PWM chips)),"values [(np.int64(25), 1011), (np.int64(1), 187), (np.int64(50), 21)]",0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x184,388,4,125:1011 1:187 30:14,annotated,u16 PWM-chip timing (1 on non-PWM chips),"values [(np.int64(125), 1011), (np.int64(1), 187), (np.int64(30), 14), (np.int64(80), 7)]",0,0.857,0.834,0.835,0.839,0.867,0.933,0.957
0x185,389,1,0:1219,annotated-const,part of field @0x184 (u16 PWM-chip timing (1 on non-PWM chips)),"values [(np.int64(125), 1011), (np.int64(1), 187), (np.int64(30), 14), (np.int64(80), 7)]",0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x186,390,4,125:1011 1:187 45:14,annotated,u16 PWM-chip timing (1 on non-PWM chips),"values [(np.int64(125), 1011), (np.int64(1), 187), (np.int64(45), 14), (np.int64(30), 7)]",0,0.857,0.834,0.835,0.839,0.867,0.933,0.957
0x187,391,1,0:1219,annotated-const,part of field @0x186 (u16 PWM-chip timing (1 on non-PWM chips)),"values [(np.int64(125), 1011), (np.int64(1), 187), (np.int64(45), 14), (np.int64(30), 7)]",0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x188,392,4,62:1011 1:187 60:14,annotated,u16 PWM-chip timing (1 on non-PWM chips),"values [(np.int64(62), 1011), (np.int64(1), 187), (np.int64(60), 14), (np.int64(10), 7)]",0,0.857,0.834,0.835,0.839,0.867,0.933,0.957
0x189,393,1,0:1219,annotated-const,part of field @0x188 (u16 PWM-chip timing (1 on non-PWM chips)),"values [(np.int64(62), 1011), (np.int64(1), 187), (np.int64(60), 14), (np.int64(10), 7)]",0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x18a,394,20,4:494 19:239 12:220,unknown,,best key chip+S: agr=0.791 shuf=0.497,0,0.424,0.437,0.427,0.681,0.489,0.791,0.842
0x18b,395,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x18c,396,1,232:1219,annotated-const,u16 = 1000 (timing block constant),1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x18d,397,1,3:1219,annotated-const,part of field @0x18c (u16 = 1000 (timing block constant)),1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x18e,398,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x18f,399,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x190,400,20,4:494 19:239 12:220,unknown,,best key chip+S: agr=0.791 shuf=0.497,0,0.424,0.437,0.427,0.681,0.489,0.791,0.842
0x191,401,3,0:1192 14:19 12:8,unknown,,best key chip+geo: agr=0.990 shuf=0.983,0,0.978,0.982,0.978,0.978,0.983,0.982,0.990
0x192,402,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x193,403,2,0:1091 1:128,likely-determined-by:chip+geo,consistent within chip+geo groups,agr=0.959 shuf=0.906 G=375,50,0.901,0.915,0.902,0.902,0.925,0.929,0.959
0x194,404,1,232:1219,annotated-const,u16 = 1000 (timing block constant),1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x195,405,1,3:1219,annotated-const,part of field @0x194 (u16 = 1000 (timing block constant)),1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x196,406,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x197,407,1,0:1219,constant,const 0x00,1219/1219,0,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0x198,408,37,17:357 4:143 77:135,unknown,,best key chip+geo: agr=0.705 shuf=0.475,0,0.315,0.335,0.318,0.486,0.390,0.632,0.705
0x199,409,2,0:851 1:368,likely-determined-by:chip+geo,consistent within chip+geo groups,agr=0.952 shuf=0.768 G=375,58,0.698,0.711,0.700,0.902,0.719,0.933,0.952
0x19a,410,2,64:963 0:256,annotated,64-entry table: ramp 64..127 or all-zero,"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x19b,411,2,65:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x19c,412,2,66:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x19d,413,2,67:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x19e,414,2,68:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x19f,415,2,69:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x1a0,416,2,70:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x1a1,417,2,71:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x1a2,418,2,72:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x1a3,419,2,73:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x1a4,420,2,74:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x1a5,421,2,75:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x1a6,422,2,76:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x1a7,423,2,77:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x1a8,424,2,78:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x1a9,425,2,79:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x1aa,426,2,80:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
0x1ab,427,2,81:963 0:256,annotated,part of field @0x19a (64-entry table: ramp 64..127 or all-zero),"ramp in 79.0%, zero in 21.0%, nothing else; zero/ramp not predicted by any single other byte",0,0.827,0.814,0.819,0.822,0.835,0.916,0.929
